Position,Velocity,Angle,Angular Velocity,Reward,Done,Episode,Step
-0.071,-0.734,0.0,-0.061,1,0,10,5
-0.087,-0.979,0.018,0.733,1,0,10,6
-0.104,-1.101,0.026,0.305,1,0,10,7
-0.12,-0.979,0.043,0.671,1,0,10,8
-0.14,-1.285,0.052,0.366,1,0,10,9
-0.157,-1.04,0.068,0.671,1,0,10,10
-0.172,-0.918,0.079,0.427,1,0,10,11
-0.188,-1.04,0.099,0.794,1,0,10,12
-0.202,-0.857,0.122,0.916,1,0,10,13
-0.215,-0.796,0.131,0.366,1,0,10,14
-0.215,0.0,0.154,0.916,1,0,10,15
-0.214,0.061,0.166,0.488,1,0,10,16
-0.208,0.367,0.172,0.244,1,0,10,17
-0.209,-0.061,0.195,0.916,1,0,10,18
-0.205,0.245,0.195,0.0,1,0,10,19
-0.204,0.061,0.213,0.732,0,1,10,20
-0.045,-0.184,0.006,0.0,1,0,11,0
-0.034,0.734,0.006,0.0,1,0,11,1
-0.035,-0.061,0.006,0.0,1,0,11,2
-0.046,-0.734,-0.014,-0.794,1,0,11,3
-0.061,-0.918,-0.003,0.427,1,0,11,4
-0.076,-0.918,0.018,0.855,1,0,11,5
-0.089,-0.857,0.044,1.038,1,0,11,6
-0.087,0.122,0.053,0.366,1,0,11,7
-0.091,-0.245,0.085,1.282,1,0,11,8
-0.085,0.428,0.078,-0.305,1,0,11,9
-0.087,-0.184,0.088,0.427,1,0,11,10
-0.097,-0.612,0.076,-0.488,1,0,11,11
-0.093,0.245,0.085,0.366,1,0,11,12
-0.099,-0.367,0.128,1.709,1,0,11,13
-0.087,0.734,0.128,0.0,1,0,11,14
-0.072,0.979,0.149,0.855,1,0,11,15
-0.072,0.0,0.148,-0.061,1,0,11,16
-0.063,0.551,0.137,-0.427,1,0,11,17
-0.049,0.857,0.189,2.075,1,0,11,18
-0.049,0.0,0.187,-0.061,1,0,11,19
-0.06,-0.673,0.19,0.122,1,0,11,20
-0.077,-1.04,0.211,0.855,0,1,11,21
-0.044,-0.184,-0.012,0.0,1,0,12,0
-0.051,-0.428,-0.014,-0.061,1,0,12,1
-0.061,-0.612,-0.014,0.0,1,0,12,2
-0.071,-0.612,0.003,0.671,1,0,12,3
-0.071,0.0,0.012,0.366,1,0,12,4
-0.074,-0.184,0.037,0.977,1,0,12,5
-0.085,-0.673,0.02,-0.671,1,0,12,6
-0.08,0.306,0.027,0.305,1,0,12,7
-0.086,-0.367,0.055,1.099,1,0,12,8
-0.094,-0.551,0.033,-0.855,1,0,12,9
-0.107,-0.796,0.05,0.671,1,0,12,10
-0.105,0.122,0.061,0.427,1,0,12,11
-0.105,0.0,0.093,1.282,1,0,12,12
-0.113,-0.49,0.081,-0.488,1,0,12,13
-0.13,-1.04,0.087,0.244,1,0,12,14
-0.12,0.612,0.116,1.16,1,0,12,15
-0.101,1.163,0.141,1.038,1,0,12,16
-0.077,1.53,0.134,-0.305,1,0,12,17
-0.048,1.775,0.12,-0.549,1,0,12,18
-0.038,0.673,0.108,-0.488,1,0,12,19
-0.034,0.245,0.087,-0.855,1,0,12,20
-0.037,-0.184,0.12,1.343,1,0,12,21
-0.043,-0.428,0.14,0.794,1,0,12,22
-0.041,0.184,0.155,0.61,1,0,12,23
-0.026,0.918,0.224,2.747,0,1,12,24
-0.019,-0.061,-0.006,0.0,1,0,13,0
0.001,1.285,0.002,0.305,1,0,13,1
-0.0,-0.122,-0.006,-0.305,1,0,13,2
-0.009,-0.551,-0.03,-0.977,1,0,13,3
-0.02,-0.673,-0.005,1.038,1,0,13,4
-0.035,-0.918,0.003,0.305,1,0,13,5
-0.051,-1.04,0.024,0.855,1,0,13,6
-0.065,-0.857,0.037,0.488,1,0,13,7
-0.081,-0.979,0.059,0.916,1,0,13,8
-0.095,-0.918,0.071,0.488,1,0,13,9
-0.111,-0.979,0.094,0.916,1,0,13,10
-0.125,-0.857,0.12,1.038,1,0,13,11
-0.125,0.0,0.135,0.61,1,0,13,12
-0.106,1.163,0.175,1.587,1,0,13,13
-0.084,1.407,0.161,-0.549,1,0,13,14
-0.072,0.734,0.144,-0.671,1,0,13,15
-0.07,0.122,0.132,-0.488,1,0,13,16
-0.056,0.857,0.166,1.343,1,0,13,17
-0.056,0.0,0.179,0.549,1,0,13,18
-0.045,0.673,0.178,-0.061,1,0,13,19
-0.032,0.857,0.236,2.32,0,1,13,20
-0.021,0.0,0.003,0.0,1,0,14,0
-0.005,0.979,0.002,-0.061,1,0,14,1
-0.008,-0.184,0.003,0.061,1,0,14,2
0.0,0.551,-0.018,-0.855,1,0,14,3
-0.007,-0.49,-0.023,-0.183,1,0,14,4
0.0,0.49,-0.003,0.794,1,0,14,5
-0.002,-0.184,-0.003,0.0,1,0,14,6
-0.008,-0.367,0.0,0.122,1,0,14,7
-0.004,0.245,-0.003,-0.122,1,0,14,8
0.009,0.857,0.008,0.427,1,0,14,9
0.034,1.53,0.017,0.366,1,0,14,10
0.035,0.061,-0.005,-0.855,1,0,14,11
0.021,-0.857,-0.017,-0.488,1,0,14,12
0.004,-1.04,-0.023,-0.244,1,0,14,13
0.006,0.122,-0.006,0.671,1,0,14,14
0.019,0.796,0.021,1.099,1,0,14,15
0.024,0.306,0.023,0.061,1,0,14,16
0.012,-0.734,0.008,-0.61,1,0,14,17
0.015,0.184,0.003,-0.183,1,0,14,18
0.008,-0.428,0.015,0.488,1,0,14,19
0.017,0.551,0.029,0.549,1,0,14,20
0.031,0.857,0.049,0.794,1,0,14,21
0.032,0.061,0.033,-0.61,1,0,14,22
0.024,-0.49,0.015,-0.733,1,0,14,23
0.005,-1.163,0.033,0.733,1,0,14,24
-0.007,-0.796,0.064,1.221,1,0,14,25
-0.026,-1.163,0.084,0.794,1,0,14,26
-0.022,0.245,0.113,1.16,1,0,14,27
-0.025,-0.184,0.137,0.977,1,0,14,28
-0.016,0.551,0.128,-0.366,1,0,14,29
-0.017,-0.061,0.155,1.099,1,0,14,30
-0.031,-0.857,0.146,-0.366,1,0,14,31
-0.025,0.367,0.187,1.648,1,0,14,32
-0.028,-0.184,0.231,1.77,0,1,14,33
-0.023,0.122,0.0,0.0,1,0,15,0
-0.032,-0.551,-0.003,-0.122,1,0,15,1
-0.029,0.184,-0.005,-0.061,1,0,15,2
-0.029,0.0,0.008,0.488,1,0,15,3
-0.021,0.49,-0.005,-0.488,1,0,15,4
-0.005,0.979,-0.012,-0.305,1,0,15,5
0.013,1.163,-0.018,-0.244,1,0,15,6
0.038,1.53,-0.052,-1.343,1,0,15,7
0.063,1.591,-0.071,-0.794,1,0,15,8
0.068,0.306,-0.113,-1.648,1,0,15,9
0.057,-0.673,-0.169,-2.259,1,0,15,10
0.041,-1.04,-0.176,-0.305,1,0,15,11
0.043,0.184,-0.173,0.122,1,0,15,12
0.038,-0.367,-0.173,0.0,1,0,15,13
0.033,-0.306,-0.196,-0.916,1,0,15,14
0.018,-0.918,-0.242,-1.831,0,1,15,15
0.017,0.122,0.012,0.0,1,0,16,0
0.034,1.04,0.012,0.0,1,0,16,1
0.047,0.857,0.008,-0.183,1,0,16,2
0.066,1.163,-0.002,-0.366,1,0,16,3
0.087,1.346,-0.008,-0.244,1,0,16,4
0.109,1.346,-0.023,-0.61,1,0,16,5
0.13,1.346,-0.032,-0.366,1,0,16,6
0.138,0.49,-0.053,-0.855,1,0,16,7
0.139,0.061,-0.082,-1.16,1,0,16,8
0.15,0.673,-0.064,0.732,1,0,16,9
0.167,1.04,-0.061,0.122,1,0,16,10
0.165,-0.122,-0.071,-0.427,1,0,16,11
0.17,0.306,-0.103,-1.282,1,0,16,12
0.181,0.734,-0.094,0.366,1,0,16,13
0.181,0.0,-0.094,0.0,1,0,16,14
0.17,-0.734,-0.138,-1.77,1,0,16,15
0.174,0.306,-0.128,0.427,1,0,16,16
0.167,-0.49,-0.117,0.427,1,0,16,17
0.156,-0.673,-0.129,-0.488,1,0,16,18
0.142,-0.857,-0.158,-1.16,1,0,16,19
0.127,-0.979,-0.163,-0.183,1,0,16,20
0.129,0.122,-0.166,-0.122,1,0,16,21
0.122,-0.428,-0.175,-0.366,1,0,16,22
0.108,-0.857,-0.201,-1.038,0,1,16,23
0.049,-0.184,0.015,0.0,1,0,17,0
0.058,0.551,0.014,-0.061,1,0,17,1
0.073,0.918,0.014,0.0,1,0,17,2
0.091,1.163,0.005,-0.366,1,0,17,3
0.108,1.04,-0.015,-0.794,1,0,17,4
0.131,1.469,-0.026,-0.427,1,0,17,5
0.155,1.469,-0.053,-1.099,1,0,17,6
0.173,1.101,-0.084,-1.221,1,0,17,7
0.2,1.713,-0.096,-0.488,1,0,17,8
0.206,0.367,-0.138,-1.709,1,0,17,9
0.193,-0.796,-0.161,-0.916,1,0,17,10
0.179,-0.857,-0.175,-0.549,1,0,17,11
0.168,-0.734,-0.176,-0.061,1,0,17,12
0.15,-1.101,-0.176,0.0,1,0,17,13
0.135,-0.918,-0.186,-0.366,1,0,17,14
0.12,-0.979,-0.193,-0.305,1,0,17,15
0.121,0.061,-0.213,-0.794,0,1,17,16
0.053,0.061,0.021,0.0,1,0,18,0
0.064,0.673,0.021,0.0,1,0,18,1
0.08,0.979,0.023,0.061,1,0,18,2
0.098,1.163,0.006,-0.671,1,0,18,3
0.116,1.101,-0.014,-0.794,1,0,18,4
0.119,0.184,-0.029,-0.61,1,0,18,5
0.124,0.306,-0.058,-1.16,1,0,18,6
0.133,0.612,-0.04,0.732,1,0,18,7
0.156,1.407,-0.049,-0.366,1,0,18,8
0.159,0.184,-0.081,-1.282,1,0,18,9
0.145,-0.857,-0.103,-0.916,1,0,18,10
0.146,0.061,-0.094,0.366,1,0,18,11
0.139,-0.428,-0.081,0.549,1,0,18,12
0.13,-0.612,-0.113,-1.282,1,0,18,13
0.129,-0.061,-0.111,0.061,1,0,18,14
0.125,-0.245,-0.105,0.244,1,0,18,15
0.117,-0.49,-0.154,-1.953,1,0,18,16
0.099,-1.101,-0.157,-0.122,1,0,18,17
0.083,-1.04,-0.167,-0.427,1,0,18,18
0.087,0.245,-0.176,-0.366,1,0,18,19
0.098,0.734,-0.193,-0.671,1,0,18,20
0.101,0.184,-0.265,-2.869,0,1,18,21
0.049,-0.184,0.009,-0.061,1,0,19,0
0.048,-0.061,0.009,0.0,1,0,19,1
0.052,0.245,0.011,0.061,1,0,19,2
0.051,-0.061,0.018,0.305,1,0,19,3
0.062,0.673,-0.002,-0.794,1,0,19,4
0.075,0.796,0.015,0.671,1,0,19,5
0.077,0.122,-0.005,-0.794,1,0,19,6
0.062,-0.918,-0.033,-1.16,1,0,19,7
0.048,-0.857,-0.018,0.61,1,0,19,8
0.033,-0.979,-0.003,0.61,1,0,19,9
0.018,-0.918,0.012,0.61,1,0,19,10
0.003,-0.918,0.018,0.244,1,0,19,11
-0.008,-0.734,0.03,0.488,1,0,19,12
-0.022,-0.857,0.035,0.183,1,0,19,13
-0.018,0.245,0.041,0.244,1,0,19,14
-0.003,0.918,0.047,0.244,1,0,19,15
0.024,1.713,0.024,-0.916,1,0,19,16
0.05,1.652,-0.018,-1.709,1,0,19,17
0.053,0.184,-0.043,-0.977,1,0,19,18
0.043,-0.673,-0.102,-2.381,1,0,19,19
0.044,0.122,-0.093,0.366,1,0,19,20
0.043,-0.061,-0.085,0.305,1,0,19,21
0.038,-0.367,-0.14,-2.197,1,0,19,22
0.019,-1.163,-0.141,-0.061,1,0,19,23
0.024,0.306,-0.154,-0.488,1,0,19,24
0.019,-0.306,-0.163,-0.366,1,0,19,25
0.012,-0.428,-0.214,-2.075,0,1,19,26
0.01,0.0,0.023,0.0,1,0,20,0
0.028,1.101,0.023,0.0,1,0,20,1
0.044,1.04,0.026,0.122,1,0,20,2
0.065,1.285,0.008,-0.732,1,0,20,3
0.086,1.285,-0.017,-0.977,1,0,20,4
0.091,0.367,-0.033,-0.671,1,0,20,5
0.081,-0.673,-0.068,-1.404,1,0,20,6
0.065,-0.979,-0.085,-0.671,1,0,20,7
0.046,-1.163,-0.062,0.916,1,0,20,8
0.029,-1.101,-0.047,0.61,1,0,20,9
0.01,-1.163,-0.044,0.122,1,0,20,10
-0.003,-0.857,-0.037,0.305,1,0,20,11
-0.018,-0.918,-0.032,0.183,1,0,20,12
-0.032,-0.857,-0.032,0.0,1,0,20,13
-0.029,0.184,-0.037,-0.183,1,0,20,14
-0.034,-0.306,-0.041,-0.183,1,0,20,15
-0.042,-0.49,-0.091,-2.014,1,0,20,16
-0.053,-0.734,-0.096,-0.183,1,0,20,17
-0.068,-0.918,-0.113,-0.671,1,0,20,18
-0.082,-0.857,-0.122,-0.366,1,0,20,19
-0.081,0.061,-0.146,-0.977,1,0,20,20
-0.085,-0.245,-0.178,-1.282,1,0,20,21
-0.075,0.612,-0.225,-1.892,0,1,20,22
